Observation,DeliveryTime,CaseNumbers,Distance
1.000000,16.680000,7.000000,560.000000
2.000000,11.500000,3.000000,220.000000
3.000000,12.030000,3.000000,340.000000
4.000000,14.880000,4.000000,80.000000
5.000000,13.750000,6.000000,150.000000
6.000000,18.110000,7.000000,330.000000
7.000000,8.000000,2.000000,110.000000
8.000000,17.830000,7.000000,210.000000
9.000000,79.240000,30.000000,1460.000000
10.000000,21.500000,5.000000,605.000000
11.000000,40.330000,16.000000,688.000000
12.000000,21.000000,10.000000,215.000000
13.000000,13.500000,4.000000,255.000000
14.000000,19.750000,6.000000,462.000000
15.000000,24.000000,9.000000,448.000000
16.000000,29.000000,10.000000,776.000000
17.000000,15.350000,6.000000,200.000000
18.000000,19.000000,7.000000,132.000000
19.000000,9.500000,3.000000,36.000000
20.000000,35.100000,17.000000,770.000000
21.000000,17.900000,10.000000,140.000000
22.000000,52.320000,26.000000,810.000000
23.000000,18.750000,9.000000,450.000000
24.000000,19.830000,8.000000,635.000000
25.000000,10.750000,4.000000,150.000000
